epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,628.527,2.74649,3.47751,3.45259,0.74413,0.59475,0.64708,0.30135,1.85547,1.9871,2.5439,0.00333082,0.00333082,0.00333082
2,799.994,1.65622,1.39255,2.14855,0.91536,0.79174,0.85842,0.4546,1.61898,1.10435,2.1389,0.00659817,0.00659817,0.00659817
3,967.592,1.50011,1.10889,1.93822,0.92329,0.8242,0.89366,0.44768,1.66514,1.09565,2.19017,0.00979953,0.00979953,0.00979953
4,1133.74,1.42575,0.97199,1.84806,0.9333,0.88508,0.93456,0.50467,1.56545,0.78641,2.0707,0.009703,0.009703,0.009703
5,1299.58,1.37058,0.89048,1.77856,0.9398,0.87711,0.93477,0.54298,1.45168,0.7788,1.93728,0.009604,0.009604,0.009604
6,1465.08,1.33004,0.83791,1.73831,0.9423,0.89916,0.94376,0.55028,1.4209,0.72251,1.90052,0.009505,0.009505,0.009505
7,1631.34,1.30453,0.80457,1.70958,0.95354,0.90496,0.9461,0.58309,1.36251,0.66227,1.83691,0.009406,0.009406,0.009406
8,1797.47,1.28143,0.76536,1.68814,0.95047,0.90807,0.9505,0.57711,1.39384,0.66505,1.83911,0.009307,0.009307,0.009307
9,1963.22,1.26322,0.75047,1.66703,0.9669,0.91276,0.95308,0.57034,1.41802,0.63299,1.86283,0.009208,0.009208,0.009208
10,2128.86,1.25012,0.72425,1.65581,0.96687,0.91702,0.95737,0.62488,1.28401,0.59294,1.74163,0.009109,0.009109,0.009109
11,2295.29,1.24135,0.72149,1.64799,0.96544,0.92073,0.96286,0.61469,1.31793,0.57796,1.76894,0.00901,0.00901,0.00901
12,2461.55,1.2273,0.69843,1.63112,0.96453,0.92683,0.96208,0.6035,1.35178,0.58767,1.80888,0.008911,0.008911,0.008911
13,2627.3,1.22297,0.689,1.62347,0.96158,0.93152,0.96188,0.60834,1.31664,0.58758,1.75716,0.008812,0.008812,0.008812
14,2793.44,1.20597,0.67588,1.60289,0.97202,0.93574,0.96317,0.6238,1.27409,0.55244,1.72857,0.008713,0.008713,0.008713
15,2959.31,1.20132,0.66339,1.60267,0.97035,0.92917,0.96486,0.6417,1.24033,0.52583,1.69036,0.008614,0.008614,0.008614
16,3125.51,1.1954,0.65766,1.59518,0.97968,0.92737,0.96842,0.64681,1.24353,0.51226,1.69161,0.008515,0.008515,0.008515
17,3291.28,1.18544,0.64946,1.58971,0.97606,0.93693,0.97009,0.65102,1.20767,0.5111,1.66817,0.008416,0.008416,0.008416
18,3457.38,1.1811,0.64958,1.57943,0.97402,0.93208,0.9696,0.65293,1.22295,0.50108,1.67033,0.008317,0.008317,0.008317
19,3622.92,1.17486,0.63283,1.5817,0.98128,0.93435,0.97323,0.65368,1.21628,0.48797,1.65683,0.008218,0.008218,0.008218
20,3789.04,1.16861,0.62699,1.57088,0.9718,0.9409,0.97089,0.65588,1.21062,0.48296,1.6487,0.008119,0.008119,0.008119
21,3955.3,1.1635,0.62524,1.56408,0.9757,0.93856,0.97171,0.66979,1.18177,0.48473,1.63408,0.00802,0.00802,0.00802
22,4121.51,1.1581,0.61721,1.56131,0.97869,0.94371,0.97417,0.66665,1.18513,0.47359,1.63651,0.007921,0.007921,0.007921
23,4287.6,1.15006,0.60784,1.55514,0.97986,0.93574,0.97269,0.66799,1.18142,0.47574,1.63194,0.007822,0.007822,0.007822
24,4453.31,1.15318,0.60211,1.55436,0.9738,0.94137,0.97451,0.67055,1.17621,0.46841,1.62952,0.007723,0.007723,0.007723
25,4619.91,1.14212,0.5964,1.54977,0.96975,0.94731,0.97351,0.66668,1.19137,0.46089,1.64586,0.007624,0.007624,0.007624
26,4786.15,1.14341,0.59508,1.54905,0.9796,0.9409,0.97515,0.66975,1.18275,0.44997,1.63654,0.007525,0.007525,0.007525
27,4952.96,1.1362,0.58958,1.54239,0.97825,0.94933,0.97726,0.67437,1.16507,0.44794,1.62292,0.007426,0.007426,0.007426
28,5118.71,1.13845,0.58521,1.54244,0.97613,0.94747,0.97609,0.67835,1.15819,0.44432,1.60865,0.007327,0.007327,0.007327
29,5285.03,1.13277,0.57894,1.54319,0.9763,0.94664,0.97526,0.67452,1.17403,0.44511,1.62519,0.007228,0.007228,0.007228
30,5450.92,1.12739,0.57464,1.53001,0.9699,0.95228,0.97584,0.68127,1.15131,0.4411,1.60183,0.007129,0.007129,0.007129
31,5617.45,1.12109,0.56976,1.52707,0.97677,0.947,0.97598,0.68346,1.14976,0.43613,1.60317,0.00703,0.00703,0.00703
32,5783.58,1.12088,0.56563,1.52654,0.97306,0.95075,0.97623,0.68474,1.148,0.43332,1.60279,0.006931,0.006931,0.006931
33,5948.83,1.11337,0.56486,1.51819,0.98154,0.94768,0.97718,0.68364,1.14633,0.43106,1.60103,0.006832,0.006832,0.006832
34,6115.62,1.10714,0.56262,1.51641,0.98327,0.94747,0.97736,0.68616,1.14037,0.42872,1.59532,0.006733,0.006733,0.006733
35,6281.73,1.10745,0.55737,1.51611,0.98289,0.94887,0.97844,0.68928,1.13842,0.42778,1.59321,0.006634,0.006634,0.006634
36,6447.93,1.11013,0.55904,1.51851,0.97964,0.94798,0.97741,0.68804,1.13702,0.42417,1.59183,0.006535,0.006535,0.006535
37,6614.17,1.10081,0.55043,1.51076,0.98153,0.94729,0.97696,0.68883,1.13656,0.42279,1.59043,0.006436,0.006436,0.006436
38,6780.22,1.09665,0.5433,1.50493,0.98238,0.94934,0.97741,0.68886,1.13629,0.41967,1.59062,0.006337,0.006337,0.006337
39,6946.7,1.09801,0.54517,1.50244,0.98126,0.95075,0.97802,0.68966,1.13311,0.41596,1.58722,0.006238,0.006238,0.006238
40,7112.2,1.09082,0.53999,1.49484,0.97866,0.95122,0.97692,0.69041,1.13315,0.41493,1.58666,0.006139,0.006139,0.006139
41,7279.08,1.08508,0.53908,1.49217,0.98158,0.94977,0.97766,0.6924,1.12987,0.41158,1.58456,0.00604,0.00604,0.00604
42,7444.63,1.08471,0.53304,1.49206,0.98225,0.94934,0.97926,0.69319,1.12966,0.41077,1.5843,0.005941,0.005941,0.005941
43,7610.61,1.09506,0.5341,1.49646,0.98315,0.94981,0.97874,0.69239,1.12958,0.40896,1.58362,0.005842,0.005842,0.005842
44,7776.86,1.08283,0.53114,1.49426,0.98349,0.9501,0.97874,0.69342,1.12721,0.40795,1.58143,0.005743,0.005743,0.005743
45,7942.91,1.08377,0.53185,1.49302,0.9835,0.95042,0.97924,0.69399,1.12599,0.40753,1.58055,0.005644,0.005644,0.005644
46,8109.09,1.07337,0.52382,1.48666,0.9821,0.95243,0.97934,0.69376,1.12425,0.40622,1.57941,0.005545,0.005545,0.005545
47,8274.87,1.07121,0.52191,1.47962,0.98359,0.9531,0.97963,0.6945,1.12431,0.40514,1.57928,0.005446,0.005446,0.005446
48,8440.77,1.07084,0.52047,1.47248,0.98267,0.95263,0.97962,0.69489,1.12288,0.40372,1.57759,0.005347,0.005347,0.005347
49,8606.72,1.07012,0.52145,1.48263,0.98247,0.95263,0.97919,0.69592,1.12181,0.40402,1.57653,0.005248,0.005248,0.005248
50,8772.9,1.06972,0.51441,1.47977,0.98232,0.95216,0.97909,0.69593,1.1208,0.40315,1.57552,0.005149,0.005149,0.005149
51,8939.15,1.06585,0.51388,1.47235,0.98373,0.9531,0.9792,0.69626,1.11995,0.40265,1.57451,0.00505,0.00505,0.00505
52,9105.62,1.06163,0.51195,1.47275,0.98363,0.9531,0.97931,0.6971,1.11996,0.40221,1.5747,0.004951,0.004951,0.004951
53,9271.8,1.05671,0.50791,1.4682,0.98354,0.95292,0.9787,0.69648,1.11948,0.40102,1.574,0.004852,0.004852,0.004852
54,9438.41,1.05177,0.50626,1.45576,0.98308,0.95365,0.9789,0.69684,1.11899,0.40037,1.57403,0.004753,0.004753,0.004753
55,9604.86,1.05277,0.50727,1.4549,0.98343,0.95403,0.97966,0.6971,1.11898,0.40014,1.57379,0.004654,0.004654,0.004654
56,9771.97,1.05319,0.5018,1.45832,0.98339,0.95403,0.97987,0.69737,1.11874,0.39966,1.5734,0.004555,0.004555,0.004555
57,9938.11,1.05013,0.50257,1.45646,0.98363,0.9545,0.97994,0.69729,1.11826,0.39899,1.57265,0.004456,0.004456,0.004456
58,10104.5,1.04851,0.49997,1.45791,0.98393,0.95497,0.97994,0.69675,1.11769,0.39894,1.57207,0.004357,0.004357,0.004357
59,10271,1.04546,0.49831,1.4545,0.98329,0.95497,0.98006,0.69729,1.11721,0.39812,1.57201,0.004258,0.004258,0.004258
60,10437.3,1.04463,0.49221,1.45541,0.98358,0.95531,0.9801,0.69801,1.11703,0.3981,1.57165,0.004159,0.004159,0.004159
61,10603.8,1.03925,0.48962,1.45088,0.98239,0.95497,0.98015,0.69812,1.11622,0.39772,1.57107,0.00406,0.00406,0.00406
62,10770.3,1.04054,0.48839,1.45103,0.98311,0.95544,0.98017,0.69804,1.11598,0.39719,1.57103,0.003961,0.003961,0.003961
63,10936.7,1.03625,0.48838,1.44141,0.98382,0.95544,0.98021,0.69812,1.11579,0.39657,1.57049,0.003862,0.003862,0.003862
64,11104.9,1.02898,0.48331,1.43364,0.9837,0.95544,0.9803,0.6991,1.11545,0.39553,1.57,0.003763,0.003763,0.003763
65,11271.4,1.02714,0.48043,1.43809,0.98359,0.95544,0.98038,0.69912,1.1152,0.3947,1.56984,0.003664,0.003664,0.003664
66,11437.6,1.03198,0.48263,1.44203,0.98302,0.95544,0.9804,0.69921,1.11468,0.39466,1.56951,0.003565,0.003565,0.003565
67,11605.1,1.0225,0.47651,1.44076,0.98358,0.95544,0.98052,0.6994,1.11467,0.39375,1.56944,0.003466,0.003466,0.003466
68,11772,1.02001,0.47457,1.42664,0.98217,0.95577,0.98058,0.69986,1.11406,0.39341,1.56913,0.003367,0.003367,0.003367
69,11938.2,1.01959,0.47245,1.43341,0.98264,0.95593,0.9807,0.69979,1.11382,0.39262,1.5686,0.003268,0.003268,0.003268
70,12105.1,1.01186,0.46839,1.41622,0.98265,0.95621,0.98067,0.69978,1.11381,0.39166,1.56832,0.003169,0.003169,0.003169
71,12272,1.01404,0.46489,1.42373,0.9836,0.95631,0.98067,0.70045,1.11333,0.39132,1.5678,0.00307,0.00307,0.00307
72,12438,1.01038,0.4652,1.41815,0.9833,0.95638,0.98131,0.70098,1.11281,0.39041,1.56711,0.002971,0.002971,0.002971
73,12604.3,1.00563,0.46427,1.41712,0.98244,0.95638,0.98103,0.70115,1.11234,0.38976,1.56666,0.002872,0.002872,0.002872
74,12771,1.00619,0.46134,1.41275,0.9826,0.95638,0.98171,0.70123,1.11157,0.38985,1.5661,0.002773,0.002773,0.002773
75,12937.4,0.99852,0.45969,1.40775,0.98237,0.95638,0.98183,0.70177,1.11124,0.38893,1.56569,0.002674,0.002674,0.002674
76,13104.5,1.00542,0.4589,1.41619,0.98238,0.95638,0.98169,0.70212,1.11069,0.38807,1.5651,0.002575,0.002575,0.002575
77,13271.2,0.99787,0.45411,1.41144,0.98217,0.95582,0.98165,0.70213,1.11017,0.38782,1.56465,0.002476,0.002476,0.002476
78,13437.7,0.99502,0.45532,1.40541,0.98217,0.95619,0.98196,0.70264,1.1103,0.38759,1.56459,0.002377,0.002377,0.002377
79,13604.5,0.98861,0.44875,1.405,0.98217,0.95601,0.98193,0.70225,1.10992,0.38721,1.56451,0.002278,0.002278,0.002278
80,13771.2,0.98552,0.44664,1.40078,0.98261,0.95591,0.98201,0.70296,1.10946,0.38644,1.56403,0.002179,0.002179,0.002179
81,13937.9,0.98739,0.44717,1.4022,0.98367,0.95497,0.98264,0.70308,1.10941,0.38559,1.56375,0.00208,0.00208,0.00208
82,14104.8,0.98082,0.44235,1.39501,0.98405,0.95591,0.9828,0.70272,1.10936,0.38511,1.56359,0.001981,0.001981,0.001981
83,14271.6,0.97602,0.44139,1.39132,0.98452,0.95544,0.98288,0.70386,1.10899,0.38453,1.56328,0.001882,0.001882,0.001882
84,14438.6,0.9763,0.43938,1.39195,0.98475,0.95544,0.98285,0.70411,1.10881,0.38413,1.563,0.001783,0.001783,0.001783
